model|features                        n |logΔ| mean  median  MAE mm3  R2 vs 0  better%            diff CI95
persistence|none                    317       0.343   0.200    204.2      0.0       0% [+0.000, +0.000]
train_median_change|none            317       0.344   0.200    210.0   -0.001      51% [-0.002, +0.003]
shrunk_trend|history                317       0.342   0.201    202.2   -0.023      25% [-0.007, +0.004]
ridge|history                       317       0.372   0.235    265.1   -0.064      41% [+0.013, +0.043]
gbm|history                         317       0.345   0.209    200.7    0.007      47% [-0.005, +0.008]
ridge|history_clinical              317       0.371   0.242    261.5   -0.067      43% [+0.014, +0.043]
gbm|history_clinical                317       0.347   0.207    197.5    0.002      49% [-0.004, +0.012]
ridge|history_treatment             317       0.366   0.221    251.1   -0.049      44% [+0.006, +0.038]
gbm|history_treatment               317       0.339   0.198    198.4    0.019      53% [-0.012, +0.003]
ridge|history_acquisition           317       0.377   0.271    272.7   -0.048      42% [+0.016, +0.051]
gbm|history_acquisition             317       0.346   0.207    210.0    0.008      48% [-0.004, +0.010]
ridge|all                           317       0.374   0.255    262.6    -0.04      44% [+0.012, +0.050]
gbm|all                             317       0.345   0.207    205.7    0.023      46% [-0.007, +0.010]
